PCN,ISSUED,LOCATION,CONTRAVENTION,FINE,Last Pay Date,Total Paid,Balance,
LS17718241,15/03/2022,BURLEY ROAD CP - CITY,73 PARKED WITHOUT PAYMENT,50,15/03/2022,25,0,
LS18448470,15/03/2022,HUNSLET LANE CP - CITY,73 PARKED WITHOUT PAYMENT,50,15/03/2022,25,0,
LS18448470,15/03/2022,HUNSLET LANE CP - CITY,73 PARKED WITHOUT PAYMENT,50,28/03/2022,25,0,
LS18448630,15/03/2022,PLAYHOUSE SQUARE CP - CITY,86 BEYOND THE BAY MARKINGS                        ,50,15/03/2022,0,50,
LS20318897,15/03/2022,WEST STREET CP - CITY,73 PARKED WITHOUT PAYMENT,50,15/03/2022,25,0,
LS20318922,15/03/2022,INTERNATIONAL POOL CP - CITY,73 PARKED WITHOUT PAYMENT,50,16/03/2022,25,0,
LS20318922,15/03/2022,INTERNATIONAL POOL CP - CITY,73 PARKED WITHOUT PAYMENT,50,17/03/2022,25,0,
LS21615140,15/03/2022,QUEENSWAY CP - MORLEY                                       ,87 IN DISABLED BAY WITHOUT BADGE,70,15/03/2022,0,0,
LS22825910,15/03/2022,INTERNATIONAL POOL CP - CITY,73 PARKED WITHOUT PAYMENT,50,15/03/2022,25,0,
LS22825910,15/03/2022,INTERNATIONAL POOL CP - CITY,73 PARKED WITHOUT PAYMENT,50,20/03/2022,25,0,
LS24225856,15/03/2022,WOODHOUSE LANE  CP - CITY,73 PARKED WITHOUT PAYMENT,50,15/03/2022,25,0,
LS24225856,15/03/2022,WOODHOUSE LANE  CP - CITY,73 PARKED WITHOUT PAYMENT,50,23/03/2022,25,0,
LS24225856,15/03/2022,WOODHOUSE LANE  CP - CITY,73 PARKED WITHOUT PAYMENT,50,24/03/2022,25,0,
LS20318988,16/03/2022,WEST STREET CP - CITY,73 PARKED WITHOUT PAYMENT,50,16/03/2022,0,50,
LS20318999,16/03/2022,WEST STREET CP - CITY,73 PARKED WITHOUT PAYMENT,50,16/03/2022,0,50,
LS20319007,16/03/2022,WEST STREET CP - CITY,73 PARKED WITHOUT PAYMENT,50,16/03/2022,25,0,
LS20319007,16/03/2022,WEST STREET CP - CITY,73 PARKED WITHOUT PAYMENT,50,18/03/2022,25,0,
LS20319018,16/03/2022,WEST STREET CP - CITY,73 PARKED WITHOUT PAYMENT,50,17/03/2022,25,0,
LS20319029,16/03/2022,WEST STREET CP - CITY,73 PARKED WITHOUT PAYMENT,50,16/03/2022,25,0,
LS20319029,16/03/2022,WEST STREET CP - CITY,73 PARKED WITHOUT PAYMENT,50,29/03/2022,25,0,
LS20319029,16/03/2022,WEST STREET CP - CITY,73 PARKED WITHOUT PAYMENT,50,30/03/2022,25,0,
LS20318966,16/03/2022,BURLEY ROAD CP - CITY,73 PARKED WITHOUT PAYMENT,50,16/03/2022,0,0,
LS20318966,16/03/2022,BURLEY ROAD CP - CITY,73 PARKED WITHOUT PAYMENT,50,21/03/2022,0,0,
LS20318977,16/03/2022,WEST STREET CP - CITY,73 PARKED WITHOUT PAYMENT,50,16/03/2022,0,50,
LS20319018,16/03/2022,WEST STREET CP - CITY,73 PARKED WITHOUT PAYMENT,50,16/03/2022,25,0,
LS21615173,16/03/2022,ANNIE STREET CP - MORLEY                                    ,87 IN DISABLED BAY WITHOUT BADGE,70,16/03/2022,0,70,
LS22231982,17/03/2022,INTERNATIONAL POOL CP - CITY,73 PARKED WITHOUT PAYMENT,50,18/03/2022,25,0,
LS22231993,17/03/2022,INTERNATIONAL POOL CP - CITY,73 PARKED WITHOUT PAYMENT,50,17/03/2022,0,0,
LS22232001,17/03/2022,INTERNATIONAL POOL CP - CITY,73 PARKED WITHOUT PAYMENT,50,17/03/2022,25,0,
LS22232001,17/03/2022,INTERNATIONAL POOL CP - CITY,73 PARKED WITHOUT PAYMENT,50,25/03/2022,25,0,
LS22232012,17/03/2022,INTERNATIONAL POOL CP - CITY,73 PARKED WITHOUT PAYMENT,50,17/03/2022,25,0,
LS22232023,17/03/2022,INTERNATIONAL POOL CP - CITY,73 PARKED WITHOUT PAYMENT,50,21/03/2022,0,0,
LS24449718,17/03/2022,AIREBOROUGH CENTRE - GUISELEY,87 IN DISABLED BAY WITHOUT BADGE,70,21/03/2022,35,0,
LS24715094,17/03/2022,HUNSLET LANE CP - CITY,73 PARKED WITHOUT PAYMENT,50,24/03/2022,25,0,
LS17224660,17/03/2022,HUNSLET LANE CP - CITY,73 PARKED WITHOUT PAYMENT,50,17/03/2022,0,50,
LS17816353,17/03/2022,FINK HILL CP - HORSFORTH                                    ,86 BEYOND THE BAY MARKINGS                        ,50,17/03/2022,25,0,
LS17816353,17/03/2022,FINK HILL CP - HORSFORTH                                    ,86 BEYOND THE BAY MARKINGS                        ,50,23/03/2022,25,0,
LS17816364,17/03/2022,FINK HILL CP - HORSFORTH                                    ,71 Parked in an electric vehicles charging place,25,17/03/2022,0,25,
LS22231982,17/03/2022,INTERNATIONAL POOL CP - CITY,73 PARKED WITHOUT PAYMENT,50,17/03/2022,25,0,
LS22232012,17/03/2022,INTERNATIONAL POOL CP - CITY,73 PARKED WITHOUT PAYMENT,50,26/03/2022,25,0,
LS22232023,17/03/2022,INTERNATIONAL POOL CP - CITY,73 PARKED WITHOUT PAYMENT,50,17/03/2022,0,0,
LS24449718,17/03/2022,AIREBOROUGH CENTRE - GUISELEY,87 IN DISABLED BAY WITHOUT BADGE,70,17/03/2022,35,0,
LS24449729,17/03/2022,AIREBOROUGH CENTRE - GUISELEY,86 BEYOND THE BAY MARKINGS                        ,50,17/03/2022,0,0,
LS2444973A,17/03/2022,AIREBOROUGH CENTRE - GUISELEY,86 BEYOND THE BAY MARKINGS                        ,50,17/03/2022,25,0,
LS24715083,17/03/2022,HUNSLET LANE CP - CITY,73 PARKED WITHOUT PAYMENT,50,17/03/2022,25,0,
LS24715083,17/03/2022,HUNSLET LANE CP - CITY,73 PARKED WITHOUT PAYMENT,50,22/03/2022,25,0,
LS24715083,17/03/2022,HUNSLET LANE CP - CITY,73 PARKED WITHOUT PAYMENT,50,23/03/2022,25,0,
LS24715094,17/03/2022,HUNSLET LANE CP - CITY,73 PARKED WITHOUT PAYMENT,50,17/03/2022,25,0,
LS20726408,18/03/2022,PLAYHOUSE SQUARE CP - CITY,86 BEYOND THE BAY MARKINGS                        ,50,18/03/2022,25,50,
LS22729484,18/03/2022,WOODHOUSE LANE  CP - CITY,73 PARKED WITHOUT PAYMENT,50,18/03/2022,25,0,
LS22826028,18/03/2022,WEST STREET CP - CITY,73 PARKED WITHOUT PAYMENT,50,18/03/2022,25,0,
LS22826028,18/03/2022,WEST STREET CP - CITY,73 PARKED WITHOUT PAYMENT,50,29/03/2022,25,0,
LS22826039,18/03/2022,WEST STREET CP - CITY,73 PARKED WITHOUT PAYMENT,50,18/03/2022,25,50,
LS2282604A,18/03/2022,BURLEY ROAD CP - CITY,82 AFTER EXPIRY IN P+D CAR PARK,50,18/03/2022,25,0,
LS22826050,18/03/2022,BURLEY ROAD CP - CITY,73 PARKED WITHOUT PAYMENT,50,18/03/2022,25,0,
LS22826061,18/03/2022,BURLEY ROAD CP - CITY,73 PARKED WITHOUT PAYMENT,50,18/03/2022,0,0,
LS22826094,18/03/2022,BURLEY ROAD CP - CITY,73 PARKED WITHOUT PAYMENT,50,18/03/2022,50,0,
LS22826108,18/03/2022,BURLEY ROAD CP - CITY,73 PARKED WITHOUT PAYMENT,50,18/03/2022,25,0,
LS22826108,18/03/2022,BURLEY ROAD CP - CITY,73 PARKED WITHOUT PAYMENT,50,31/03/2022,25,0,
LS22729484,18/03/2022,WOODHOUSE LANE  CP - CITY,73 PARKED WITHOUT PAYMENT,50,20/03/2022,25,0,
LS22729495,18/03/2022,WOODHOUSE LANE  CP - CITY,73 PARKED WITHOUT PAYMENT,50,18/03/2022,0,50,
LS22729509,18/03/2022,WOODHOUSE LANE  CP - CITY,73 PARKED WITHOUT PAYMENT,50,18/03/2022,0,50,
LS22826017,18/03/2022,WEST STREET CP - CITY,73 PARKED WITHOUT PAYMENT,50,18/03/2022,0,50,
LS22826028,18/03/2022,WEST STREET CP - CITY,73 PARKED WITHOUT PAYMENT,50,28/03/2022,25,0,
LS22826072,18/03/2022,BURLEY ROAD CP - CITY,73 PARKED WITHOUT PAYMENT,50,18/03/2022,0,0,
LS23625564,18/03/2022,HUNSLET LANE CP - CITY,73 PARKED WITHOUT PAYMENT,50,18/03/2022,0,50,
LS2272951A,19/03/2022,WEST STREET CP - CITY,73 PARKED WITHOUT PAYMENT,50,19/03/2022,25,0,
LS2272951A,19/03/2022,WEST STREET CP - CITY,73 PARKED WITHOUT PAYMENT,50,23/03/2022,25,0,
LS2272951A,19/03/2022,WEST STREET CP - CITY,73 PARKED WITHOUT PAYMENT,50,29/03/2022,25,0,
LS22729520,19/03/2022,WEST STREET CP - CITY,73 PARKED WITHOUT PAYMENT,50,19/03/2022,0,0,
LS22729531,19/03/2022,WEST STREET CP - CITY,73 PARKED WITHOUT PAYMENT,50,19/03/2022,0,0,
LS20726623,20/03/2022,BURLEY ROAD CP - CITY,82 AFTER EXPIRY IN P+D CAR PARK,50,20/03/2022,25,50,
LS17326897,21/03/2022,WEST STREET CP - CITY,73 PARKED WITHOUT PAYMENT,50,21/03/2022,0,50,
LS17326900,21/03/2022,WEST STREET CP - CITY,73 PARKED WITHOUT PAYMENT,50,22/03/2022,25,0,
LS17326922,21/03/2022,WEST STREET CP - CITY,73 PARKED WITHOUT PAYMENT,50,21/03/2022,25,50,
LS17326944,21/03/2022,WEST STREET CP - CITY,73 PARKED WITHOUT PAYMENT,50,21/03/2022,0,50,
LS17326999,21/03/2022,BURLEY ROAD CP - CITY,73 PARKED WITHOUT PAYMENT,50,27/03/2022,25,0,
LS17327007,21/03/2022,BURLEY ROAD CP - CITY,73 PARKED WITHOUT PAYMENT,50,21/03/2022,25,0,
LS20603521,21/03/2022,INTERNATIONAL POOL CP - CITY,73 PARKED WITHOUT PAYMENT,50,22/03/2022,25,0,
LS24715414,21/03/2022,CASTLE ST CP - CITY,73 PARKED WITHOUT PAYMENT,50,21/03/2022,0,50,
LS24715425,21/03/2022,CASTLE ST CP - CITY,73 PARKED WITHOUT PAYMENT,50,21/03/2022,25,0,
LS24715425,21/03/2022,CASTLE ST CP - CITY,73 PARKED WITHOUT PAYMENT,50,26/03/2022,25,0,
